model,dataset,mae,mape,rmse,split,inLen,outLen,tags,horizon,source
STID,SD,15.15,9.82,25.29,6:2:2,12,12,"survey,2019",3,
STID,SD,17.95,11.93,30.39,6:2:2,12,12,"survey,2019",6,
STID,SD,21.82,15.09,38.63,6:2:2,12,12,"survey,2019",12,
STID,SD,17.86,11.94,31.0,6:2:2,12,12,"survey,2019",-1,
GWNET,SD,15.24,9.86,25.13,6:2:2,12,12,"survey,2019",3,
GWNET,SD,17.74,11.7,29.51,6:2:2,12,12,"survey,2019",6,
GWNET,SD,21.56,15.13,36.82,6:2:2,12,12,"survey,2019",12,
GWNET,SD,17.74,11.88,29.62,6:2:2,12,12,"survey,2019",-1,
AGCRN,SD,15.71,11.48,27.85,6:2:2,12,12,"survey,2019",3,
AGCRN,SD,18.06,13.06,31.51,6:2:2,12,12,"survey,2019",6,
AGCRN,SD,21.86,16.52,39.44,6:2:2,12,12,"survey,2019",12,
AGCRN,SD,18.09,13.28,32.01,6:2:2,12,12,"survey,2019",-1,
STGODE,SD,16.75,11.0,28.04,6:2:2,12,12,"survey,2019",3,
STGODE,SD,19.71,13.16,33.56,6:2:2,12,12,"survey,2019",6,
STGODE,SD,23.67,16.58,42.12,6:2:2,12,12,"survey,2019",12,
STGODE,SD,19.55,13.22,33.57,6:2:2,12,12,"survey,2019",-1,
RPMixer,SD,18.54,11.81,30.33,6:2:2,12,12,"survey,2019",3,
RPMixer,SD,24.55,16.51,40.04,6:2:2,12,12,"survey,2019",6,
RPMixer,SD,35.9,27.67,58.31,6:2:2,12,12,"survey,2019",12,
RPMixer,SD,25.25,17.64,42.56,6:2:2,12,12,"survey,2019",-1,
DSTAGNN,SD,18.13,11.38,28.96,6:2:2,12,12,"survey,2019",3,
DSTAGNN,SD,21.71,13.93,34.44,6:2:2,12,12,"survey,2019",6,
DSTAGNN,SD,27.51,19.34,43.95,6:2:2,12,12,"survey,2019",12,
DSTAGNN,SD,21.82,14.4,34.68,6:2:2,12,12,"survey,2019",-1,
D2STGNN,SD,14.92,9.56,24.95,6:2:2,12,12,"survey,2019",3,
D2STGNN,SD,17.52,11.36,29.24,6:2:2,12,12,"survey,2019",6,
D2STGNN,SD,22.62,14.86,37.14,6:2:2,12,12,"survey,2019",12,
D2STGNN,SD,17.85,11.54,29.51,6:2:2,12,12,"survey,2019",-1,
DGCRN,SD,15.34,10.01,25.35,6:2:2,12,12,"survey,2019",3,
DGCRN,SD,18.05,11.9,30.06,6:2:2,12,12,"survey,2019",6,
DGCRN,SD,22.06,15.27,37.51,6:2:2,12,12,"survey,2019",12,
DGCRN,SD,18.02,12.07,30.09,6:2:2,12,12,"survey,2019",-1,
STWave,SD,15.8,10.34,25.89,6:2:2,12,12,"survey,2019",3,
STWave,SD,18.18,11.96,30.03,6:2:2,12,12,"survey,2019",6,
STWave,SD,21.98,15.3,36.99,6:2:2,12,12,"survey,2019",12,
STWave,SD,18.22,12.2,30.12,6:2:2,12,12,"survey,2019",-1,
BigST,SD,16.42,10.86,26.99,6:2:2,12,12,"survey,2019",3,
BigST,SD,18.88,13.24,31.6,6:2:2,12,12,"survey,2019",6,
BigST,SD,23.0,15.92,38.59,6:2:2,12,12,"survey,2019",12,
BigST,SD,18.8,12.91,31.73,6:2:2,12,12,"survey,2019",-1,
PatchSTG,SD,14.53,9.22,24.34,6:2:2,12,12,"survey,2019",3,
PatchSTG,SD,16.86,11.11,28.63,6:2:2,12,12,"survey,2019",6,
PatchSTG,SD,20.66,14.72,36.27,6:2:2,12,12,"survey,2019",12,
PatchSTG,SD,16.9,11.23,29.27,6:2:2,12,12,"survey,2019",-1,
STID,GBA,17.36,13.28,29.39,6:2:2,12,12,"survey,2019",3,
STID,GBA,20.45,16.03,34.51,6:2:2,12,12,"survey,2019",6,
STID,GBA,24.38,19.9,41.33,6:2:2,12,12,"survey,2019",12,
STID,GBA,20.22,15.91,34.61,6:2:2,12,12,"survey,2019",-1,
GWNET,GBA,17.85,13.92,29.12,6:2:2,12,12,"survey,2019",3,
GWNET,GBA,21.11,17.79,33.69,6:2:2,12,12,"survey,2019",6,
GWNET,GBA,25.58,23.48,40.19,6:2:2,12,12,"survey,2019",12,
